x1,x2,x3,target
93.0,16.0,-85.0,-7905.0
-49.0,-5.0,16.0,-80.0
-41.0,-21.0,79.0,-1659.0
27.0,81.0,-63.0,-5103.0
-9.0,-64.0,84.0,-756.0
81.0,21.0,5.0,405.0
-20.0,60.0,-75.0,-4500.0
93.0,-35.0,53.0,4929.0
0.0,-29.0,80.0,0.0
-19.0,4.0,-33.0,-132.0
-88.0,15.0,91.0,1365.0
-57.0,-100.0,28.0,-1596.0
91.0,-45.0,-36.0,-3276.0
-50.0,19.0,-87.0,-1653.0
-45.0,100.0,48.0,4800.0
-32.0,22.0,-21.0,-462.0
59.0,49.0,-46.0,-2714.0
-40.0,-92.0,5.0,-200.0
32.0,59.0,-85.0,-5015.0
-94.0,-29.0,-8.0,232.0
-21.0,-68.0,-26.0,546.0
-25.0,26.0,81.0,2106.0
12.0,25.0,-85.0,-2125.0
-11.0,40.0,-57.0,-2280.0
51.0,73.0,7.0,511.0
100.0,-77.0,-43.0,-4300.0
-74.0,-35.0,21.0,-735.0
-34.0,-90.0,-14.0,476.0
-84.0,-2.0,8.0,-16.0
-41.0,92.0,-7.0,-644.0
57.0,-85.0,65.0,3705.0
38.0,55.0,71.0,3905.0
-20.0,17.0,-100.0,-1700.0
-42.0,40.0,-51.0,-2040.0
-98.0,-52.0,-84.0,4368.0
80.0,42.0,-4.0,-320.0
63.0,-32.0,-46.0,-2898.0
-3.0,-76.0,-19.0,57.0
-37.0,20.0,-76.0,-1520.0
-92.0,-24.0,-83.0,1992.0
-23.0,-64.0,-89.0,2047.0
94.0,-84.0,65.0,6110.0
-54.0,3.0,-76.0,-228.0
59.0,-61.0,49.0,2891.0
33.0,-51.0,-32.0,-1056.0
30.0,-22.0,46.0,1380.0
2.0,36.0,0.0,0.0
4.0,87.0,-88.0,-7656.0
61.0,-13.0,-32.0,-1952.0
46.0,13.0,-76.0,-3496.0
